ticker,rank,sector,SCORE,value_score,quality_score,momentum_score,earn_yield,fcf_yield,ebit_yield,roic,roe,op_margin,debt_eq,mom,price,high_52w,low_52w,mktcap
EIX,1,Utilities,1.0763,1.6561,0.0158,2.04,0.1228,,,0.084,,0.3077,,,,,,
FIX,2,Industrials,1.0427,-0.8784,1.9853,3.0,0.0198,,,0.6,,0.563,,,,,,
CF,3,Materials,0.9816,1.2592,1.144,0.1,0.0905,,,0.2627,,0.3656,,,,,,
MU,4,Information Technology,0.8871,-0.0002,1.2088,2.02,0.0456,,,0.5984,,0.6563,,,,,,
LDOS,5,Industrials,0.8457,2.5778,0.0028,-0.93,0.105,,,0.2818,,0.1209,,,,,,
BIIB,6,Health Care,0.8006,0.9368,0.4938,1.14,0.0467,,,0.1152,,0.2493,,,,,,
MO,7,Consumer Staples,0.7637,0.6728,0.8505,0.77,0.0672,,,0.4723,,0.472,,,,,,
CTSH,8,Information Technology,0.7483,2.6654,-0.3634,-0.86,0.1105,,,0.1509,,0.1579,,,,,,
ADBE,9,Information Technology,0.7469,1.2888,1.0387,-0.92,0.0813,,,0.6,,0.3607,,,,,,
ACN,10,Information Technology,0.654,2.2055,-0.0952,-0.95,0.0904,,,0.3635,,0.1449,,,,,,
AOS,11,Industrials,0.6515,1.7096,0.2926,-0.75,0.1153,,,0.2929,,0.1853,,,,,,
DECK,12,Consumer Discretionary,0.5878,0.6044,0.8126,0.11,0.0696,,,0.6,,0.2308,,,,,,
CMCSA,13,Communication Services,0.5582,1.4973,0.2395,-0.68,0.25,,,0.1861,,0.1529,,,,,,
URI,14,Industrials,0.5494,0.267,0.9161,0.38,0.0365,,,0.1307,,1.0,,,,,,
SOLV,15,Health Care,0.528,1.0484,0.3033,-0.06,0.1078,,,0.1892,,0.2554,,,,,,
KLAC,16,Information Technology,0.5011,1.1927,-0.2788,0.68,0.1544,,,0.0552,,0.0482,,,,,,
GM,17,Consumer Discretionary,0.4975,1.154,-0.7885,1.76,0.0362,,,0.0527,,0.0148,,,,,,
EQT,18,Energy,0.4935,1.9595,0.1788,-1.81,0.1075,,,0.1213,,1.0,,,,,,
LULU,19,Consumer Discretionary,0.481,1.7542,0.3796,-1.86,0.1129,,,0.3655,,0.1829,,,,,,
NVDA,20,Information Technology,0.4592,-0.3753,1.7018,-0.36,0.0313,,,0.6,,1.0,,,,,,
